title	types	title	types	title	types	title	types	title	tyoes	title	types	title	types	title	types	title	types	title	types	title	types	title	types	title	types	title	types
肖申克的救赎	剧情	憨豆先生精选辑	喜剧	这个杀手不太冷	动作	霸王别姬	爱情	盗梦空间	科幻	大雄的怀念奶奶	动画	控方证人	悬疑	洞	惊悚	惊魂记	恐怖	久石让在武道馆：与宫崎骏动画一同走过的25年	纪录片	灿烂人生	家庭	肖申克的救赎	犯罪	福尔摩斯二世	奇幻	盗梦空间	冒险
霸王别姬	剧情	美丽人生	喜剧	指环王3：王者无敌	动作	美丽人生	爱情	机器人总动员	科幻	拽妹黛薇儿要上大学了没	动画	十二怒汉	悬疑	蝙蝠侠：黑暗骑士	惊悚	卡里加里博士的小屋	恐怖	地球脉动2：奇迹世界	纪录片	活着	家庭	控方证人	犯罪	千与千寻	奇幻	机器人总动员	冒险
控方证人	剧情	福尔摩斯二世	喜剧	七武士	动作	阿甘正传	爱情	星际穿越	科幻	千与千寻	动画	控方证人	悬疑	搏击俱乐部	惊悚	电锯惊魂	恐怖	人生果实	纪录片	小鞋子	家庭	这个杀手不太冷	犯罪	大闹天宫	奇幻	疯狂动物城	冒险
伊丽莎白	剧情	城市之光	喜剧	蝙蝠侠：黑暗骑士	动作	泰坦尼克号	爱情	楚门的世界	科幻	机器人总动员	动画	盗梦空间	悬疑	看不见的客人(意大利版)	惊悚	巴斯克维尔的猎犬	恐怖	岚：15周年的告白	纪录片	东京物语	家庭	十二怒汉	犯罪	狐妖小红娘剧场版：月红篇	奇幻	星际穿越	冒险
美丽人生	剧情	极品基老伴：完结篇	喜剧	搏击俱乐部	动作	泰坦尼克号 3D版	爱情	超感猎杀：完结特别篇	科幻	大闹天宫	动画	无间道	悬疑	V字仇杀队	惊悚	浮士德	恐怖	无路可逃：一部关于模糊乐队的电影	纪录片	哀乐中年	家庭	控方证人	犯罪	大话西游之大圣娶亲	奇幻	龙猫	冒险
辛德勒的名单	剧情	西蒙·阿姆斯特尔：顺其自然	喜剧	指环王1：魔戒再现	动作	灿烂人生	爱情	蝙蝠侠：黑暗骑士	科幻	狐妖小红娘剧场版：月红篇	动画	窃听风暴	悬疑	红辣椒	惊悚	死亡之夜	恐怖	创造“哈利·波特”的世界：魔法开始	纪录片	摔跤吧！爸爸	家庭	教父	犯罪	龙猫	奇幻	指环王3：王者无敌	冒险
这个杀手不太冷	剧情	三傻大闹宝莱坞	喜剧	指环王2：双塔奇兵	动作	巴黎圣母院	爱情	攻壳机动队2：无罪	科幻	苏联动画大师作品精选集	动画	帷幕：波洛的最后一案	悬疑	未麻的部屋	惊悚	吹笛子的男人	恐怖	创造哈利·波特的世界：成长	纪录片	饮食男女	家庭	无间道	犯罪	指环王3：王者无敌	奇幻	七武士	冒险
阿甘正传	剧情	疯狂动物城	喜剧	将军号	动作	罗密欧与朱丽叶	爱情	大都会	科幻	疯狂动物城	动画	搏击俱乐部	悬疑	惊魂记	惊悚	圣血	恐怖	创造“哈利·波特”的世界：音乐	纪录片	海蒂和爷爷	家庭	教父2	犯罪	生活多美好	奇幻	天空之城	冒险
泰坦尼克号	剧情	大话西游之大圣娶亲	喜剧	V字仇杀队	动作	机器人总动员	爱情	赛文奥特曼 我是地球人	科幻	龙猫	动画	古畑任三郎完结篇 重生之死	悬疑	追随	惊悚	怪谈	恐怖	神秘博士：DT的视频日志：最后的日子	纪录片	爱·回家	家庭	洞	犯罪	天空之城	奇幻	海蒂和爷爷	冒险
十二怒汉	剧情	触不可及	喜剧	黑客帝国	动作	乱世佳人	爱情	V字仇杀队	科幻	攻壳机动队SAC：笑面男	动画	看不见的客人(意大利版)	悬疑	用心棒	惊悚	焚尸人	恐怖	周游加拿大	纪录片	寻子遇仙记	家庭	蝙蝠侠：黑暗骑士	犯罪	天书奇谭	奇幻	黄金三镖客	冒险
